GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE
1012796,110070082505,2020,"EOG Resources, Inc. 420 Fort Worth Syncline Basin Gathering & Boosting","1111 Bagby Street, Sky Lobby 2",Houston,TX,77002,HARRIS COUNTY,EOG RESOURCES INC,1111 Bagby Street - Sky Lobby 2,Houston,TX,77002,100,211120
1012797,110054925890,2020,"Range Resources - Appalachia, LLC - Basin 160A Gathering & Boosting (Canonsburg, PA)",3000 Town Center Boulevard,Canonsburg,PA,15317,WASHINGTON COUNTY,RANGE RESOURCES CORP,"100 Throckmorton Street, 12th Floor",Fort Worth,TX,76102,100,211130
1012800,110070082507,2020,Black Hills Energy Arkansas LLC_345 Arkoma Basin_GB,655 E. Millsap Road Suite 104,Fayetteville,AR,72703,WASHINGTON COUNTY,BLACK HILLS CORP,7001 Mt Rushmore Road,Rapid City,SD,57709,100,486210
1012804,110070082473,2020,"EnLink North Texas Gathering, LP G&B 415 - Strawn Basin","2501 Cedar Springs Road, Suite 100",Dallas,TX,75201,DALLAS COUNTY,ENLINK MIDSTREAM LLC,"1722 Routh Street, Suite 1300",Dallas,TX,75201,100,486210
1012806,110070082468,2020,TOM-Stack Anadarko #360-G&B,1209 County Road 1304,Bridgeport,TX,76426,WISE COUNTY,ENLINK MIDSTREAM LLC,"1722 Routh St., Suite 1300",Dallas,TX,75201,100,213112
1012808,110006498511,2020,"Mubea, Inc.",6800 Industrial Road,Florence,KY,41042,KENTON COUNTY,MUHR UND BENDER KG,6800 Industrial Road,Florence,KY,41042,100,332613
1012809,110070209433,2020,Riptide Gas Plant,,Stanton,TX,79782,MARTIN COUNTY,ENLINK MIDSTREAM LLC,"1722 Routh Street, Suite 1300",Dallas,TX,75201,100,211130
1012810,110070082510,2020,"Delaware G&P, LLC G&B 430 - Permian Basin","2501 Cedar Springs Road, Suite 100",Dallas,TX,75201,DALLAS COUNTY,ENLINK MIDSTREAM LLC,"1722 Routh Street, Suite 1300",Dallas,TX,75201,100,486210
1012811,110070082490,2020,"EnLink North Texas Gathering, LP G&B 420 - Fort Worth Syncline","2501 Cedar Springs Road, Suite 100",Dallas,TX,75201,DALLAS COUNTY,ENLINK MIDSTREAM LLC,"1722 Routh Street, Suite 1300",Dallas,TX,75201,100,486210
1012812,110070082510,2020,"EnLink North Texas Gathering, LP G&B 430 - Permian Basin","2501 Cedar Springs Road, Suite 100",Dallas,TX,75201,DALLAS COUNTY,ENLINK MIDSTREAM LLC,"1722 Routh Street, Suite 1300",Dallas,TX,75201,100,486210
1012814,110070082511,2020,TOMPC Chautauqua #355-G&B,1209 County Road 1304,Bridgeport,TX,76426,WISE COUNTY,ENLINK MIDSTREAM LLC,"1722 Routh St., Suite 1300",Dallas,TX,75201,100,213112
1012815,110070082512,2020,Alamo Gas Plant,1277 CR 3020,Crockett,TX,75835,,ENERGY TRANSFER LP,8111 Westchester Drive,Dallas,TX,75225,100,486210
1012816,110070082513,2020,"ORX Resources, LLC - Gulf Coast Basin (220)","400 Poydras Street, Suite 1100",New Orleans,LA,70130,,ORX RESOURCES LLC,"400 Poydras Street, Suite 1100",New Orleans,LA,70130,100,211120
1012817,110070082514,2020,ARKOMA Basin - BG,621 N. Robinson Ave. - Ste. 300,OKC,OK,73102,,FLYWHEEL ENERGY LLC,"621 N. Robinson Ave., Suite 300",Oklahoma City,OK,73102,100,211130
1012818,110070082515,2020,Lewis Energy Group - G&B,10101 Reunion Place Suite 1000,San Antonio,TX,78216,BEXAR COUNTY,LEWIS ENERGY GROUP LP,10101 Reunion Place Suite 1100,San Antonio,TX,78216,100,211130
1012819,110070082516,2020,"LAMBDA ENERGY RESOURCES LLC, MICHIGAN BASIN G&B",12012 Wickchester Suite 300,HOUSTON,TX,77079,HARRIS COUNTY,LAMBDA ENERGY RESOURCES LLC,12012 WICKCHESTER LANE SUITE 300,HOUSTON,TX,77079,100,211130
1012820,110070082517,2020,"Heidelberg Spar, Green Canyon 860 Platform",,Offshore,LA,0,,OCCIDENTAL PETROLEUM CORP,1201 Lake Robbins Dr,The Woodlands,TX,77382,100,211120
1012821,110070082518,2020,Texas Gas Pipeline Blowdowns,"9 Greenway Plaza, Suite 2800",Houston,TX,77046,HARRIS COUNTY,LOEWS CORP,667 Madison Avenue,New York,NY,10065-8087,100,486210
1012822,110070082519,2020,"Urban 220 Gulf Coast Basin (LA, TX) GB","1000 E. 14th Street, Suite 300",Plano,TX,75074,COLLIN COUNTY,URBAN OIL & GAS GROUP LLC,"1000 E. 14th Street, 3rd Floor",Plano,TX,75074,100,486210
1012823,110070082520,2020,San Joaquin Production Facilities,4800 Corporate Court,Bakersfield,CA,93311,,NATIONAL FUEL GAS CO,6363 Main Street,Williamsville,NY,14221,100,211130
1012825,110070225672,2020,Fairway Resources,"538 Silicon Drive, Suite 101",Southlake,TX,76092,TARRANT COUNTY,FAIRWAY RESOURCES LLC,"538 SILICON DRIVE, SUITE 101",SOUTHLAKE,TX,76092,100,211120
1012826,110070082219,2020,Basin 540 Denver Julesburg – G&B,1001 Noble Energy Way,Houston,TX,77070,,CHEVRON CORP,6001 Bollinger Canyon Road,San Ramon,CA,94583,100,486210
1012828,110070082521,2020,"White Oak Energy 220 Gulf Coat Basin (LA, TX) GB","16945 Northchase Dr., Suite 1700",Houston,TX,77060,HARRIS COUNTY,WHITE OAK ENERGY LLC,16945 Northchase Dr #1700,Houston,TX,77060,100,486210
1012829,110070082522,2020,Enbridge - Vector Transmission Pipeline Segment,"1100 Louisiana Street, Suite 3300",Houston,TX,77002,HARRIS COUNTY,VECTOR PIPELINE LP,5400 Westheimer Ct.,Houston,TX,77056,100,486210
1012833,110070069862,2020,"Validus Energy Aquilas AssetCo, LLC","1530 16th Street, Suite 500",Denver,CO,80202,,OVINTIV INC,370 17th St #1700,Denver,CO,80202,100,211120
1012835,110070069863,2020,Ovintiv USA Inc. - Permian Gathering,"370 17th Street, Suite 1700",Denver,CO,80202,DENVER COUNTY,OVINTIV INC,370 17th St #1700,Denver,CO,80202,100,211120
1012839,110020678710,2020,James Madison University,800 South Main Street,Harrisonburg,VA,22807,HARRISONBURG CITY,JAMES MADISON UNIVERSITY,800 South Main Street,Harrisonburg,VA,22807,100,611310
1012840,110070082523,2020,Hersey Power Plant,1529 South 170th Avenue,Hersey,MI,49639,OSCEOLA COUNTY,WOLVERINE POWER SUPPLY COOPERATIVE INC,10125 W. Watergate Road,Cadillac,MI,49601,100,221112
1012841,110070069865,2020,Foundation Energy Management 540 DJ Basin G & B,"16000 Dallas Parkway, Suite 875",Dallas,TX,75248,DALLAS COUNTY,FOUNDATION ENERGY MANAGEMENT LLC,"5057 Keller Springs Rd, Suite 650",Addison,TX,75001,100,211130
1012843,110000506667,2020,Technical Chemical Company,3327 Pipeline Road,Cleburne,TX,76033,JOHNSON COUNTY,TECHNICAL CHEMICAL CO,3327 Pipeline Road,Cleburne,TX,76033,100,325998
1012844,110070073797,2020,"Albany Green Energy, LLC","512 Liberty Expressway, Southeast",Albany,GA,31705,DOUGHERTY COUNTY,ALBANY GREEN ENERGY LLC,512 Liberty Expressway SE,Albany,GA,31705-4147,100,221112
1012845,,2020,TARGA LOVING GAS PROCESSING PLANT,4173 Private Road 4051,Loving County,TX,79754,,TARGA RESOURCES CORP,"811 Louisiana Street, Suite 2100",Houston,TX,77002,100,211130
1012846,110070209462,2020,TARGA RAPTOR GAS PROCESSING PLANT,2656 South Interstate 35,Cotulla,TX,78014,LA SALLE COUNTY,TARGA RESOURCES CORP,"811 Louisiana Street, Suite 2100",Houston,TX,77002,100,211130
1012849,110001588602,2020,NYC-HH - Kings County Hospital Center,451 Clarkson Avenue,Brooklyn,NY,11203,KINGS COUNTY,New York City Health & Hospitals Corp,125 Worth St.,New York,NY,10013,100,622110
1012851,,2020,South Hilo Sanitary Landfill,1645 Hoolaulima Rd.,Hilo,HI,96720,,COUNTY OF HAWAI'I,345 Kekuanao'a Street,Hilo,HI,96720,100,562212
1012853,110001961912,2020,Wabash River Highland Plant,445 Bolton Road,West Terre Haute,IN,47885,VIGO COUNTY,WABASH VALLEY POWER ASSOC,6702 Intech Boulevard,Indianapolis,IN,46278,100,221112
1012857,110070106046,2020,Agropur Inc.,2915 County Road Ab,Luxemburg,WI,54217,BROWN COUNTY,AGROPUR INC,E 3500 Destination Drive,Appleton,WI,54915,100,311511
1012859,,2020,Macquarie Commodities Trading US,"500 Dallas Street, Suite 3300",Houston,TX,77002,,MACQUARIE HOLDINGS (USA) INC,125 West 55th Street,New York,NY,10019,100,424720
1012861,110070106047,2020,Arsenal Midstream LLC 160A Appalachian Basin GB,"6031 Wallace Road Ext., Suite 300",Wexford,PA,15090,ALLEGHENY COUNTY,ARSENAL ENERGY HOLDINGS LLC,"6031 Wallace Road Ext., Suite 300",Wexford,PA,15090,100,211130
1012864,110070126718,2020,Agropur,547 West Nez Perce,Jeorme,ID,83338,JEROME COUNTY,AGROPUR INC,E 3500 Destination Drive,Appleton,WI,54915,100,311513
1012865,,2020,PBF Holding Company LLC,1 Sylvan Way,Parsippany,NJ,7054,,PBF ENERGY INC,1 Sylvan Way,Parsippany,NJ,7054,100,324110
1012867,110070156412,2020,Ingevity Virginia Corporation,958 East Riverside Street,Covington,VA,24426,COVINGTON CITY,INGEVITY CORP,5255 Virginia Ave,North Charleston,SC,29406,100,325998
1012869,110000310459,2020,Salem Harbor Station NGCC,24 Fort Ave,Salem,MA,1970,ESSEX COUNTY,FOOTPRINT POWER SALEM HARBOR DEVELOPMENT LP,24 Fort Avenue,Salem,MA,1970,100,221112
1012873,,2020,"Lonestar Resources 220 Gulf Coast Basin (LA, TX)","600 Bailey Avenue, Suite 200",Fort Worth,TX,76107,,LONESTAR RESOURCES US INC,"600 Bailey Avenue, Suite 200",Fort Worth,TX,76107,100,211120
1012879,,2020,Gunvor USA LLC,"600 Travis Street, Suite 6500",Houston,TX,77002,,FREFIKA FOUNDATION,600 Travis Street Suite 6500,Houston,TX,77002,100,424720
1012881,110070209483,2020,"PC Energy, LLC",93 SE 7th Ave,Ontario,OR,97914,MALHEUR COUNTY,NORM POOLE OIL INC,"87 SE 7th Ave, PO Box 309",Ontario,OR,97914,50,424720
1012881,110070209483,2020,"PC Energy, LLC",93 SE 7th Ave,Ontario,OR,97914,MALHEUR COUNTY,CAMPO OIL CO INC,400 S Pennsylvania Ave,Fruitland,ID,83619,50,424720
1012885,,2020,St Charles Energy Center,5025 Thomas Edison Drive,Waldorf,MD,20602,,OSAKA GAS ENERGY AMERICA CORP,"1 North Lexington Avenue, Suite 1400",White Plains,NY,10601,25,221112
1012885,,2020,St Charles Energy Center,5025 Thomas Edison Drive,Waldorf,MD,20602,,CPV POWER HOLDINGS LP,"8403 Colesville Road, Suite 915",Silver Spring,MD,20910,25,221112
1012885,,2020,St Charles Energy Center,5025 Thomas Edison Drive,Waldorf,MD,20602,,TOYOTA TSUSHO POWER USA INC,805 3rd Ave 17th floor,New York,NY,10022,25,221112
